,Date,Open,High,Low,Close,Trading volume,Trading value,No. of listed,Market Cap.
1037,28 Mar 2019,369.72,370.18,368.20,368.20,"9,702","31,503,700",5,"502,677"
1038,26 Mar 2019,369.72,369.72,368.30,368.30,"2,359","12,987,050",5,"502,811"
1039,25 Mar 2019,368.44,372.61,368.44,372.61,"1,643","5,992,550",5,"508,704"
1040,22 Mar 2019,370.95,371.85,369.52,371.85,"11,399","38,790,300",5,"507,664"
1041,21 Mar 2019,372.41,372.41,370.42,371.85,"6,666","33,492,700",5,"507,664"
1042,19 Mar 2019,370.42,371.85,368.96,370.42,"1,729","12,661,350",5,"505,718"
1043,18 Mar 2019,369.86,370.42,368.96,369.86,"2,260","22,348,500",5,"504,953"
1044,15 Mar 2019,372.61,372.61,370.63,370.63,"2,688","12,033,450",5,"505,993"
1045,14 Mar 2019,370.18,372.61,370.18,370.63,"4,203","19,228,850",5,"505,993"
1046,13 Mar 2019,373.06,373.82,368.75,368.75,"7,345","22,905,300",5,"503,437"
1047,12 Mar 2019,373.52,373.52,373.06,373.06,"5,013","35,513,900",5,"509,315"
1048,11 Mar 2019,375.39,375.39,371.53,373.52,"4,497","19,823,750",5,"509,940"
1049,8 Mar 2019,374.04,374.94,373.52,374.94,"5,732","24,553,900",5,"511,887"
1050,7 Mar 2019,368.99,372.96,368.99,371.53,"2,535","8,257,650",5,"507,229"
1051,6 Mar 2019,373.52,373.52,368.47,368.99,"11,218","39,514,000",5,"503,753"
1052,5 Mar 2019,373.26,376.61,373.26,376.61,"2,799","16,541,900",5,"514,163"
1053,4 Mar 2019,375.25,375.25,373.82,373.82,"3,210","17,334,500",5,"510,355"
1054,1 Mar 2019,375.25,375.25,375.25,375.25,280,"5,234,200",5,"512,302"
1055,28 Feb 2019,375.25,375.25,373.82,375.25,"1,868","5,921,100",5,"512,302"
1056,27 Feb 2019,376.30,376.30,374.49,375.25,"2,762","19,089,200",5,"512,302"
1057,26 Feb 2019,375.39,377.06,374.87,376.30,"8,789","52,730,500",5,"513,734"
1058,25 Feb 2019,376.05,376.05,375.39,375.39,"1,816","12,594,450",5,"512,498"
1059,22 Feb 2019,374.63,374.63,374.18,374.63,"5,332","30,327,700",5,"511,458"
1060,21 Feb 2019,373.20,374.63,373.20,374.63,890,"13,150,900",5,"511,458"
1061,20 Feb 2019,377.52,377.52,376.61,376.61,"4,439","17,980,100",5,"514,169"
1062,19 Feb 2019,378.95,378.95,376.61,377.52,"1,897","6,477,900",5,"515,405"
1063,18 Feb 2019,377.82,380.16,377.82,379.39,"4,041","14,464,200",5,"517,961"
1064,15 Feb 2019,378.73,378.73,378.17,378.17,"4,513","16,435,700",5,"516,290"
1065,14 Feb 2019,380.17,381.69,380.17,380.27,"4,047","22,054,700",5,"519,157"
1066,13 Feb 2019,376.20,380.17,376.20,380.17,"3,628","28,849,350",5,"519,023"
1067,11 Feb 2019,377.72,380.17,376.20,380.17,"8,631","31,451,900",5,"519,023"
1068,8 Feb 2019,380.26,381.68,377.71,381.68,753,"4,163,050",5,"521,088"
1069,7 Feb 2019,381.16,381.16,380.26,380.26,"4,858","31,560,800",5,"519,142"
1070,6 Feb 2019,381.16,381.16,381.16,381.16,"12,441","38,966,900",5,"520,378"
1071,5 Feb 2019,378.28,381.16,377.75,377.75,"2,936","12,072,100",5,"515,719"
1072,4 Feb 2019,382.14,382.14,378.28,378.28,"4,264","29,567,450",5,"516,445"
1073,1 Feb 2019,379.74,383.35,379.59,382.59,"2,274","21,237,250",5,"522,324"
1074,31 Jan 2019,380.72,380.72,378.73,379.29,821,"9,313,000",5,"517,820"
1075,30 Jan 2019,380.72,380.72,378.73,378.73,"5,150","28,593,850",5,"517,055"
1076,29 Jan 2019,381.48,381.48,381.48,381.48,"11,087","50,348,450",5,"520,807"
1077,28 Jan 2019,380.05,381.48,380.05,381.48,"3,800","14,800,900",5,"520,807"
1078,25 Jan 2019,376.08,381.48,376.08,380.05,"2,899","16,520,700",5,"518,860"
1079,24 Jan 2019,376.44,378.41,376.08,376.08,"6,921","40,253,950",5,"513,437"
1080,23 Jan 2019,380.41,380.41,375.01,375.01,"6,209","30,741,250",5,"511,983"
1081,22 Jan 2019,388.36,388.36,382.40,382.40,"7,149","39,551,600",5,"522,064"
1082,21 Jan 2019,392.18,392.53,389.44,389.44,"7,093","50,584,650",5,"531,673"
1083,18 Jan 2019,396.95,396.95,394.96,394.96,"1,720","14,002,000",5,"539,216"
1084,17 Jan 2019,396.95,397.47,396.95,396.95,"3,174","20,559,800",5,"541,928"
1085,16 Jan 2019,401.37,401.89,398.82,398.82,"3,252","17,517,250",5,"544,485"
1086,15 Jan 2019,401.37,402.79,401.37,401.37,"3,281","20,780,500",5,"547,961"
1087,14 Jan 2019,395.42,401.37,395.42,401.37,"6,286","41,599,650",5,"547,961"
1088,11 Jan 2019,399.40,399.40,395.42,399.40,"6,267","24,073,550",5,"545,270"
1089,10 Jan 2019,401.71,402.79,400.82,400.82,"3,765","30,928,100",5,"547,216"
1090,9 Jan 2019,402.79,402.79,402.35,402.79,"2,241","24,195,800",5,"549,907"
1091,8 Jan 2019,401.27,404.78,401.27,404.78,"1,337","15,020,100",5,"552,618"
